09/11/2016,Indiana Pacers,Philadelphia 76ers
09/11/2016,New York Knicks,Brooklyn Nets
09/11/2016,Orlando Magic,Minnesota Timberwolves
09/11/2016,Washington Wizards,Boston Celtics
09/11/2016,Atlanta Hawks,Chicago Bulls
09/11/2016,Oklahoma City Thunder,Toronto Raptors
09/11/2016,Phoenix Suns,Detroit Pistons
09/11/2016,San Antonio Spurs,Houston Rockets
09/11/2016,Golden State Warriors,Dallas Mavericks
09/11/2016,Los Angeles Clippers,Portland Trail Blazers
10/11/2016,Miami Heat,Chicago Bulls
10/11/2016,Milwaukee Bucks,New Orleans Pelicans
10/11/2016,Denver Nuggets,Golden State Warriors
10/11/2016,Sacramento Kings,Los Angeles Lakers
11/11/2016,Charlotte Hornets,Toronto Raptors
11/11/2016,Orlando Magic,Utah Jazz
11/11/2016,Philadelphia 76ers,Indiana Pacers
11/11/2016,Washington Wizards,Cleveland Cavaliers
11/11/2016,Boston Celtics,New York Knicks
11/11/2016,Oklahoma City Thunder,Los Angeles Clippers
11/11/2016,San Antonio Spurs,Detroit Pistons
11/11/2016,Portland Trail Blazers,Sacramento Kings
12/11/2016,Indiana Pacers,Boston Celtics
12/11/2016,New Orleans Pelicans,Los Angeles Lakers
12/11/2016,Atlanta Hawks,Philadelphia 76ers
12/11/2016,Toronto Raptors,New York Knicks
12/11/2016,Chicago Bulls,Washington Wizards
12/11/2016,Houston Rockets,San Antonio Spurs
12/11/2016,Miami Heat,Utah Jazz
12/11/2016,Minnesota Timberwolves,Los Angeles Clippers
12/11/2016,Milwaukee Bucks,Memphis Grizzlies
12/11/2016,Denver Nuggets,Detroit Pistons
12/11/2016,Phoenix Suns,Brooklyn Nets
13/11/2016,Cleveland Cavaliers,Charlotte Hornets
13/11/2016,Minnesota Timberwolves,Los Angeles Lakers
13/11/2016,Oklahoma City Thunder,Orlando Magic
13/11/2016,Golden State Warriors,Phoenix Suns
13/11/2016,Portland Trail Blazers,Denver Nuggets
14/11/2016,Indiana Pacers,Orlando Magic
14/11/2016,Detroit Pistons,Oklahoma City Thunder
14/11/2016,New York Knicks,Dallas Mavericks
14/11/2016,Houston Rockets,Philadelphia 76ers
14/11/2016,New Orleans Pelicans,Boston Celtics
14/11/2016,San Antonio Spurs,Miami Heat
14/11/2016,Utah Jazz,Memphis Grizzlies
14/11/2016,Los Angeles Clippers,Brooklyn Nets
15/11/2016,Cleveland Cavaliers,Toronto Raptors
15/11/2016,Miami Heat,Atlanta Hawks
15/11/2016,Minnesota Timberwolves,Charlotte Hornets
15/11/2016,Portland Trail Blazers,Chicago Bulls
15/11/2016,Los Angeles Lakers,Brooklyn Nets
16/11/2016,Indiana Pacers,Cleveland Cavaliers
16/11/2016,Orlando Magic,New Orleans Pelicans
16/11/2016,Philadelphia 76ers,Washington Wizards
16/11/2016,Atlanta Hawks,Milwaukee Bucks
16/11/2016,Boston Celtics,Dallas Mavericks
16/11/2016,New York Knicks,Detroit Pistons
16/11/2016,Oklahoma City Thunder,Houston Rockets
16/11/2016,Toronto Raptors,Golden State Warriors
16/11/2016,Denver Nuggets,Phoenix Suns
16/11/2016,Los Angeles Clippers,Memphis Grizzlies
16/11/2016,Sacramento Kings,San Antonio Spurs
17/11/2016,Washington Wizards,New York Knicks
17/11/2016,Miami Heat,Milwaukee Bucks
17/11/2016,Houston Rockets,Portland Trail Blazers
17/11/2016,Minnesota Timberwolves,Philadelphia 76ers
17/11/2016,Utah Jazz,Chicago Bulls
18/11/2016,Charlotte Hornets,Atlanta Hawks
18/11/2016,Indiana Pacers,Phoenix Suns
18/11/2016,Cleveland Cavaliers,Detroit Pistons
18/11/2016,Boston Celtics,Golden State Warriors
18/11/2016,New Orleans Pelicans,Portland Trail Blazers
18/11/2016,Oklahoma City Thunder,Brooklyn Nets
18/11/2016,Dallas Mavericks,Memphis Grizzlies
18/11/2016,Denver Nuggets,Toronto Raptors
18/11/2016,Los Angeles Lakers,San Antonio Spurs
18/11/2016,Sacramento Kings,Los Angeles Clippers
19/11/2016,Houston Rockets,Utah Jazz
19/11/2016,Detroit Pistons,Boston Celtics
19/11/2016,New Orleans Pelicans,Charlotte Hornets
19/11/2016,Orlando Magic,Dallas Mavericks
19/11/2016,Washington Wizards,Miami Heat
19/11/2016,Philadelphia 76ers,Phoenix Suns
19/11/2016,Memphis Grizzlies,Minnesota Timberwolves
19/11/2016,Milwaukee Bucks,Golden State Warriors
19/11/2016,Los Angeles Clippers,Chicago Bulls
20/11/2016,New York Knicks,Atlanta Hawks
